Height: 28
Width: 28
Neuron: 256
Training Configuration:
  Output Directory:         output/20240311-144708
  Model Directory:          output/20240311-144708/models
  Image Directory:          output/20240311-144708/images
  Save Checkpoints:         No
  Optimizer:                adam
  Gen LR:                   0.0002
  Dis LR:                   0.0002
  Epochs:                   200
Epoch: 0, D Loss: 0.2878, G Loss: 16.4685
Epoch: 1, D Loss: 0.7347, G Loss: 6.6749
Epoch: 2, D Loss: 0.1621, G Loss: 6.0233
Epoch: 3, D Loss: 0.1779, G Loss: 6.5435
Epoch: 4, D Loss: 0.2820, G Loss: 5.6837
Epoch: 5, D Loss: 0.3490, G Loss: 4.3428
Epoch: 6, D Loss: 0.3098, G Loss: 4.2968
Epoch: 7, D Loss: 0.3148, G Loss: 4.1934
Epoch: 8, D Loss: 0.3405, G Loss: 4.0869
Epoch: 9, D Loss: 0.3417, G Loss: 4.0290
Epoch: 10, D Loss: 0.3037, G Loss: 4.2540
Epoch: 11, D Loss: 0.3081, G Loss: 4.4677
Epoch: 12, D Loss: 0.3601, G Loss: 4.1086
Epoch: 13, D Loss: 0.3473, G Loss: 4.0052
Epoch: 14, D Loss: 0.4107, G Loss: 3.3271
Epoch: 15, D Loss: 0.3683, G Loss: 3.5308
Epoch: 16, D Loss: 0.3677, G Loss: 3.8911
Epoch: 17, D Loss: 0.3926, G Loss: 3.5414
Epoch: 18, D Loss: 0.4283, G Loss: 3.4460
Epoch: 19, D Loss: 0.4267, G Loss: 3.2366
Epoch: 20, D Loss: 0.4267, G Loss: 3.2860
Epoch: 21, D Loss: 0.4349, G Loss: 3.2630
Epoch: 22, D Loss: 0.4691, G Loss: 3.0624
Epoch: 23, D Loss: 0.5059, G Loss: 2.8504
Epoch: 24, D Loss: 0.5050, G Loss: 2.8470
Epoch: 25, D Loss: 0.5376, G Loss: 2.6812
Epoch: 26, D Loss: 0.5927, G Loss: 2.4986
Epoch: 27, D Loss: 0.5950, G Loss: 2.4256
Epoch: 28, D Loss: 0.5757, G Loss: 2.4473
Epoch: 29, D Loss: 0.6032, G Loss: 2.3674
Epoch: 30, D Loss: 0.6077, G Loss: 2.3388
Epoch: 31, D Loss: 0.6365, G Loss: 2.2309
Epoch: 32, D Loss: 0.6292, G Loss: 2.2395
Epoch: 33, D Loss: 0.6344, G Loss: 2.1901
Epoch: 34, D Loss: 0.6526, G Loss: 2.1386
Epoch: 35, D Loss: 0.6652, G Loss: 2.1143
Epoch: 36, D Loss: 0.6674, G Loss: 2.0779
Epoch: 37, D Loss: 0.6962, G Loss: 2.0162
Epoch: 38, D Loss: 0.6970, G Loss: 1.9985
Epoch: 39, D Loss: 0.6898, G Loss: 2.0128
Epoch: 40, D Loss: 0.6934, G Loss: 2.0062
Epoch: 41, D Loss: 0.7276, G Loss: 1.9183
Epoch: 42, D Loss: 0.7395, G Loss: 1.8756
Epoch: 43, D Loss: 0.7518, G Loss: 1.8574
Epoch: 44, D Loss: 0.7249, G Loss: 1.9214
Epoch: 45, D Loss: 0.7405, G Loss: 1.8734
Epoch: 46, D Loss: 0.7334, G Loss: 1.8875
Epoch: 47, D Loss: 0.7462, G Loss: 1.8610
Epoch: 48, D Loss: 0.7492, G Loss: 1.8636
Epoch: 49, D Loss: 0.7588, G Loss: 1.8444
Epoch: 50, D Loss: 0.7659, G Loss: 1.8067
Epoch: 51, D Loss: 0.7526, G Loss: 1.8270
Epoch: 52, D Loss: 0.7703, G Loss: 1.7954
Epoch: 53, D Loss: 0.7681, G Loss: 1.7928
Epoch: 54, D Loss: 0.7658, G Loss: 1.8068
